Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST items,919235,13,0,231,7.08,0.003%,1777.77327,652.51,9096.93,375.8
PUT items,918934,18,0,260,11.16,0.004%,1777.37676,363.63,9103.33,209.5
TOTAL,1838169,15,0,260,9.59,0.003%,3554.96441,1016.10,18199.31,292.7
