Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET items by category,845415,20,0,1470,28.19,0.000%,1759.69020,772.07,273.23,449.3
GET item ,362250,10,0,220,7.97,0.000%,754.71108,155.57,102.36,211.1
TOTAL,1207665,17,0,1470,24.43,0.000%,2513.69595,927.49,375.50,377.8
