Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET items,3991,4482,237,10533,1586.64,0.000%,6.61495,85.53,0.96,13240.8
POST items,1956,1557,1,7621,830.43,0.000%,3.26074,1.20,2.78,375.8
PUT items,974,1985,1,7828,1251.91,0.000%,1.62040,0.34,1.39,214.1
DELETE item ,969,1542,1,5290,800.04,0.000%,1.61444,0.16,0.47,102.0
POST categories,968,1558,1,6688,882.92,0.000%,1.61326,0.42,1.28,267.9
PUT categories,966,2830,2,13593,1461.95,0.000%,1.60713,0.42,1.28,266.9
TOTAL,9824,2911,1,13593,1866.32,0.000%,16.28296,88.06,8.12,5537.8
