Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items by category,845415,20,19,29,37,52,0,1470,0.000%,1759.69020,772.07,273.23
GET item ,362250,10,9,19,22,32,0,220,0.000%,754.71108,155.57,102.36
TOTAL,1207665,17,18,27,33,48,0,1470,0.000%,2513.69595,927.49,375.50
