Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items list,5047,3637,3514,5516,6505,8483,200,11781,0.000%,8.37966,108.29,1.21
GET categories list,1241,1427,1422,2546,3174,4423,14,6757,0.000%,2.07468,12.35,0.30
GET items by category ,2475,1704,1549,2785,3392,5460,3,10769,0.000%,4.13229,1.84,0.64
GET items of category ,2465,1698,1530,2795,3484,5219,6,8474,0.000%,4.12145,1.77,0.64
TOTAL,11228,2541,2108,4667,5486,7581,3,11781,0.000%,18.64212,124.15,2.78
