Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items,3991,4482,4592,6389,6823,8093,237,10533,0.000%,6.61495,85.53,0.96
POST items,1956,1557,1570,2437,2773,4094,1,7621,0.000%,3.26074,1.20,2.78
PUT items,974,1985,1761,3763,4402,5579,1,7828,0.000%,1.62040,0.34,1.39
DELETE item ,969,1542,1533,2485,2791,3621,1,5290,0.000%,1.61444,0.16,0.47
POST categories,968,1558,1540,2505,2880,4403,1,6688,0.000%,1.61326,0.42,1.28
PUT categories,966,2830,2868,4434,5247,6926,2,13593,0.000%,1.60713,0.42,1.28
TOTAL,9824,2911,2423,5648,6260,7502,1,13593,0.000%,16.28296,88.06,8.12
