Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST items,919235,13,13,21,25,36,0,231,0.003%,1777.77327,652.51,9096.93
PUT items,918934,18,15,32,38,53,0,260,0.004%,1777.37676,363.63,9103.33
TOTAL,1838169,15,14,27,33,48,0,260,0.003%,3554.96441,1016.10,18199.31
