Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST items,847833,15,0,467,7.89,0.000%,1766.20100,832.70,9037.98,482.8
PUT items,847682,18,0,462,8.60,25.128%,1766.16975,712.17,9048.17,412.9
TOTAL,1695515,16,0,467,8.37,12.563%,3532.08744,1544.76,18084.70,447.8
