Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET items,4570,4011,205,9727,1402.42,0.000%,7.57923,98.66,1.10,13329.7
POST items,2244,1500,3,6843,810.04,0.000%,3.73830,1.76,3.18,482.8
PUT items,1117,1549,2,7304,762.21,22.471%,1.86363,0.77,1.60,420.7
DELETE item ,1114,1571,2,5812,712.22,21.634%,1.85653,0.38,0.54,210.0
POST categories,1108,1526,2,5476,741.33,0.000%,1.84686,0.68,1.47,374.9
PUT categories,1103,1554,3,5403,720.49,0.000%,1.83981,0.67,1.47,373.9
TOTAL,11256,2539,2,9727,1619.41,4.371%,18.66778,102.90,9.32,5644.3
