Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET items list,7478,2034,113,121926,7510.44,0.013%,12.43873,305.37,1.66,25138.9
GET categories list,1854,959,19,11043,693.32,0.000%,3.09321,71.77,0.41,23760.0
GET items by category ,3694,1953,122,121774,7041.03,0.027%,6.15869,151.38,0.89,25170.3
GET items of category ,3674,1179,10,118458,5157.24,0.054%,6.13534,118.58,0.89,19791.2
TOTAL,16700,1708,10,121926,6504.89,0.024%,27.77838,646.07,3.85,23816.3
