Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET items,13568,1190,60,6599,844.63,0.000%,22.57372,556.12,3.02,25227.1
POST items,6752,613,4,2059,218.54,0.000%,11.25165,2.81,9.59,256.0
PUT items,3370,676,7,2110,229.14,21.751%,5.61904,1.73,4.82,315.7
DELETE item ,3365,603,2,2126,216.53,21.129%,5.61241,1.07,1.58,195.0
POST categories,3362,558,2,1743,211.64,0.000%,5.60513,1.42,4.40,260.0
PUT categories,3356,610,5,1853,209.16,0.000%,5.59576,1.31,4.41,239.8
TOTAL,33773,844,2,6599,629.05,4.276%,56.18972,564.45,27.78,10286.6
