Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items,13568,1190,954,2640,3232,4301,60,6599,0.000%,22.57372,556.12,3.02
POST items,6752,613,642,831,892,1141,4,2059,0.000%,11.25165,2.81,9.59
PUT items,3370,676,704,909,979,1217,7,2110,21.751%,5.61904,1.73,4.82
DELETE item ,3365,603,624,817,886,1121,2,2126,21.129%,5.61241,1.07,1.58
POST categories,3362,558,581,770,835,1118,2,1743,0.000%,5.60513,1.42,4.40
PUT categories,3356,610,638,812,874,1068,5,1853,0.000%,5.59576,1.31,4.41
TOTAL,33773,844,726,1146,2063,3678,2,6599,4.276%,56.18972,564.45,27.78
