Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items list,7478,2034,1268,3137,3812,7862,113,121926,0.013%,12.43873,305.37,1.66
GET categories list,1854,959,959,1194,1324,1908,19,11043,0.000%,3.09321,71.77,0.41
GET items by category ,3694,1953,1258,3085,3847,6352,122,121774,0.027%,6.15869,151.38,0.89
GET items of category ,3674,1179,945,1180,1309,2307,10,118458,0.054%,6.13534,118.58,0.89
TOTAL,16700,1708,1147,2234,3497,6194,10,121926,0.024%,27.77838,646.07,3.85
