Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST items,847833,15,15,24,28,39,0,467,0.000%,1766.20100,832.70,9037.98
PUT items,847682,18,17,27,32,44,0,462,25.128%,1766.16975,712.17,9048.17
TOTAL,1695515,16,16,26,30,42,0,467,12.563%,3532.08744,1544.76,18084.70
