Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items list,4041,4639,4815,6426,6849,8021,230,13063,0.000%,6.70503,87.28,0.97
GET categories list,994,2033,2133,2837,3161,4451,161,6179,0.000%,1.65731,5417.72,0.24
GET items by category ,1970,2005,1999,2745,3088,4541,5,7434,0.000%,3.29032,1.78,0.51
GET items of category ,1953,1985,1969,2673,2990,4837,4,7381,0.000%,3.26108,1.77,0.51
TOTAL,8958,3192,2546,5843,6353,7380,4,13063,0.000%,14.86356,5482.33,2.22
