Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET items,4570,4011,4118,5645,6043,7037,205,9727,0.000%,7.57923,98.66,1.10
POST items,2244,1500,1540,2229,2517,4106,3,6843,0.000%,3.73830,1.76,3.18
PUT items,1117,1549,1555,2236,2560,3936,2,7304,22.471%,1.86363,0.77,1.60
DELETE item ,1114,1571,1587,2254,2548,3847,2,5812,21.634%,1.85653,0.38,0.54
POST categories,1108,1526,1532,2255,2516,4108,2,5476,0.000%,1.84686,0.68,1.47
PUT categories,1103,1554,1570,2284,2484,3802,3,5403,0.000%,1.83981,0.67,1.47
TOTAL,11256,2539,1970,5057,5526,6456,2,9727,4.371%,18.66778,102.90,9.32
